,Configuration,R² Score
519,Only Block Weight,0.4992920642942073
520,Only Block Weight,0.48967883938615847
521,Only Block Weight,0.4635704717522384
522,Only Block Weight,0.5081118596389163
523,Only Block Weight,0.47927675857688606
524,Only Block Weight,0.4688836925026202
525,Only Block Weight,0.48953799974517453
526,Only Block Weight,0.4996033994588696
527,Only Block Weight,0.5061031900526637
528,Only Block Weight,0.5273152018242643
529,Only Block Weight,0.4923964058501779
530,Only Block Weight,0.4730591404836062
531,Only Block Weight,0.48019918544471046
532,Only Block Weight,0.49724622721512696
533,Only Block Weight,0.5093773129650445
534,Only Block Weight,0.49417261333786167
535,Only Block Weight,0.47594115207039717
536,Only Block Weight,0.4891472240266863
537,Only Block Weight,0.5119142762266977
538,Only Block Weight,0.49850534905865707
539,Only Block Weight,0.493590437282878
540,Only Block Weight,0.4718852345277271
541,Only Block Weight,0.5008578394506908
542,Only Block Weight,0.5090995616918235
543,Only Block Weight,0.4864922266693182
544,Only Block Weight,0.46058866854316
545,Only Block Weight,0.48966569458116355
546,Only Block Weight,0.45309772047469093
547,Only Block Weight,0.469408820719106
548,Only Block Weight,0.49900717582968335
549,Only Block Weight,0.4905622168044283
550,Only Block Weight,0.4914799185576619
551,Only Block Weight,0.48464626048256626
552,Only Block Weight,0.4844516230938717
553,Only Block Weight,0.48591136986024286
554,Only Block Weight,0.4976963405823724
555,Only Block Weight,0.4681220443864889
556,Only Block Weight,0.47466655238235217
557,Only Block Weight,0.4973269698752938
558,Only Block Weight,0.49729671766199446
559,Only Block Weight,0.49319027644500824
560,Only Block Weight,0.48223474701157776
561,Only Block Weight,0.4799704572851366
562,Only Block Weight,0.49680268917155856
563,Only Block Weight,0.47531827149105893
564,Only Block Weight,0.4919829917251976
565,Only Block Weight,0.5136797671799346
566,Only Block Weight,0.5102827493859137
567,Only Block Weight,0.49465401431943373
568,Only Block Weight,0.4956766770382862
569,Only Block Weight,0.4799534393291786
570,Only Block Weight,0.46961222092873384
571,Only Block Weight,0.5156165365187294
572,Only Block Weight,0.5126835426173815
573,Only Block Weight,0.44780116805987713
574,Only Block Weight,0.5091806020134986
575,Only Block Weight,0.45083262768083754
576,Only Block Weight,0.5356760581561351
577,Only Block Weight,0.45635722443524984
578,Only Block Weight,0.4892481510998423
579,Only Block Weight,0.4762224105281728
580,Only Block Weight,0.5121016841175562
581,Only Block Weight,0.46313037503784554
582,Only Block Weight,0.50007662273353
583,Only Block Weight,0.48239470515534316
584,Only Block Weight,0.4809455066002138
585,Only Block Weight,0.5107483780633049
586,Only Block Weight,0.5174388556019364
587,Only Block Weight,0.4656088071089635
588,Only Block Weight,0.45600650197836756
589,Only Block Weight,0.4752906796445406
590,Only Block Weight,0.4874985624780859
591,Only Block Weight,0.48123489632883165
592,Only Block Weight,0.505711033057754
593,Only Block Weight,0.489362510627393
594,Only Block Weight,0.48463779216720626
595,Only Block Weight,0.5016443801860901
596,Only Block Weight,0.4928971489041811
597,Only Block Weight,0.4798830902105194
598,Only Block Weight,0.4860772298335537
599,Only Block Weight,0.5075044517287808
600,Only Center Weight,0.4427199718699869
601,Only Center Weight,0.4189225882276523
602,Only Center Weight,0.4161366778630622
603,Only Center Weight,0.41620280919089114
604,Only Center Weight,0.47040467315617607
605,Only Center Weight,0.41136585888975563
606,Only Center Weight,0.39802575782639915
607,Only Center Weight,0.39107259930906574
608,Only Center Weight,0.47370771862120264
609,Only Center Weight,0.4160656124344496
610,Only Center Weight,0.4981180964099316
611,Only Center Weight,0.40804361539237044
612,Only Center Weight,0.39361903566940526
613,Only Center Weight,0.4449829186033308
614,Only Center Weight,0.4513776527624439
615,Only Center Weight,0.4073094561346468
616,Only Center Weight,0.4175041684833737
617,Only Center Weight,0.4426212987597173
618,Only Center Weight,0.4267561803889649
619,Only Center Weight,0.4122528673005312
620,Only Center Weight,0.38458953851177
621,Only Center Weight,0.459722620476679
622,Only Center Weight,0.4411050056222605
623,Only Center Weight,0.45388088877099764
624,Only Center Weight,0.4473799400477203
625,Only Center Weight,0.4065952051418253
626,Only Center Weight,0.4485800311689416
627,Only Center Weight,0.469267503681191
628,Only Center Weight,0.4551234209188516
629,Only Center Weight,0.4192062480054197
630,Only Center Weight,0.43884207555330096
631,Only Center Weight,0.5065028320609816
632,Only Center Weight,0.43244573150945514
633,Only Center Weight,0.45043292771421173
634,Only Center Weight,0.4303552918327328
635,Only Center Weight,0.44136604560988846
